IBN KHALLIKAN’S BIOGRAPHICAL DICTIONARY.,وفيات الأعيان لابن خلِّكان
"In the name of God, the Merciful, the Clement! Thus saith the needy, suppliant for the mercy of the Most High, Shams addin Abd ’l-Abbas Ahmad. Ibn Muhammad Ibn Ibrahim Ibn Abi-Bakr Ibn Khallikan, follower of the sect of as-Shafi:","[بسم الله الرحمن الرحيم] \r\nقول الفقير إلى رحمة الله تعالى شمس الدين أبو العباس أحمد بن محمد بن إبراهيم بن أبي بكر بن خلكان، الشافعي، رحمه الله تعالى:"
"Praise be to God, to whom alone belongeth the attribute of eternal existence; who hath passed on his creatures the doom of death, and prescribed to all living beings a certain term, beyond which they cannot pass when once it is expired; who, in this sentence, hath dealt equally between the noble and the lowly-born^ the powerful and the weak:","بعد حمد الله تفرد بالبقاء، وحكم على عباده بالموت والفناء، وكتب لكل نفس أجل لا تجاوزه عند الانقضا، وسوى فيه بين الشريف والمشروف والأقوياء والضعفاء،"
"to him do I give praise for his abundant favours and his gifts pure (from ill); such praise as a man can offer who avoweth his inability to reach even the lowest strain of (fitting) eulogy: I bear witness that there is no god but the only God, who hath no partner (in his power); such witness as a man can bear who showeth at all times a sincere heart, and who hopeth in the mercy of his Lord, morning and evening:","أحمده على سوائغ النعم وضوافي الآلاء، حمد معترف بالقصور عن إدراك أقل مراتب الثناء، وأشهد أن لا اله إلا الله وحده لا شريك له شهادة مخلص في جميع الآناء، راجٍ رحمة ربه في الإصباح والإمساء،"
"I bear witness that Muhammad, his servant and apostle, is the most excellent of the prophets, the most noble of the saints; and that it is he who inviteth. td; walk' in the white path (of salvation): God grant to him and to his famiy of illustrious princes such blessings as may endure while heaven and earth do last; God be gracious to his wives, and to his holy and pious companions.","وأشهد أن محمداً عبده ورسوله أفضل الأنبياء، وأكرم الأصفياء، والداعي إلى سلوك المحجة البيضاء، صلى الله عليه وعلى آله السادة النجباء، صلاة دائمة بدوام الأرض والسماء، ورضي الله عن أزواجه وأصحابه البررة الأتقياء."
"The motive which induced me to compose this work, forming an historical compendium, was this: I had always been intent on studying the history of those men of renown who lived before my time; I was desirous of knowing the dates of their birth and death, and of learning who among them lived within the limits of each separate, century.","هذا مختصر في التاريخ، دعاني إلى جمعه أني كنت مولعاً بالاطلاع على أخبار المتقدمين من أولي النباهة وتواريخ وفياتهم وموالدهم، ومن جمع منهم كل عصر"
"The results which I obtained incited me to increase the stock which I had acquired, and to redouble my researches; I applied my mind therefore to the study of works written specially on the subject, and gathered, from the mouths of the masters versed in this science, that information which I could not find in books;","فوقع لي منهم شيء حملني على الاستزادة وكثرة التتبع، فعمدة إلى مطالعة الكتب الموسومة بهذا الفن، وأخذت من أفواه الأئمة المتقنين له ما لم أجده في كتاب،"
"I persevered in this pursuit till I had amassed a large quantity of documents roughly drawn up, which contained the events of a great number of years; I had also another portion of these facts impressed on my memory. It so happened, however, that when I had to recur to my notes, I could not find what I sought unless with some difficulty, because they were not regularly arranged; I was therefore obliged to class them,","ولم أزل على ذلك حتى حصل عندي منه مسودات كثيرة في سنين عديدة، وغلق على خاطري بعضه فصرت إذا احتجت إلى معاودة شيء منه لا أصل إليه إلا بعد التعب في استخراجه، لكونه غير مرتب، فاضطررت إلى ترتيبه،"
"and I adopted the alphabetical order, judging it more convenient than the chronological. In this I made it a rule to give the first place to those names which begin with a hamza, and the next to those in which the second letter is a hamza, or the nearest to it in order;","فرأيت على حروف المعجم أيسر منه على السنين، فعدلت إليه، والتزمت فيه تقديم من كان أول اسمه الهمزة، ثم من كان ثاني حرف من اسمه الهمزة أو ما هو أقرب إليها، على غيره،"
"thus, I put the word Ibrahim before Ahmad, because the letter 6 stands nearer to the hamza than the letter h. This plan I followed up to the last, so that my work might be more easily consulted;","فقدمت إبراهيم على أحمد لأن الباء أقرب إلى الهمزة من الحاء، وكذلك فعلت إلى آخره، ليكون أسهل للتناول،"
"it led, however, to the necessity of placing (in some instances, the life of) a modern before that of an ancient, and of inserting the name of one person between those of two others who belong to a different class; but the convenience (I aimed at) rendered this unavoidable.","وإن كان هذا يفضي إلى تأخير المتقدم وتقديم المتأخر في العصر وإدخال من ليس من الجنس بين المتجانسين، لكن هذه المصلحة أحوجت إليه."
"I have not assigned a place in this compendium to the companions of Muhammad, or to the Tabis; a few only excepted, whose history many persons require to know;","ولم أذكر في هذا المختصر أحداً من الصحابة رضوان الله عليهم، ولا من التابعين رضي الله عنهم، إلا جماعة يسيرة تدعو حاجة كثير من الناس إلى معرفة أحوالهم،"
"neither have I given the lives of the Khalifs, because the numerous works on the subject rendered it unnecessary for me to do so; but I have made mention of a great number of talented individuals with whom I was acquainted, and who supplied me with some of the information transmitted in this book; or else who lived in my time, but whom I never saw: (my object in this was) to make known to the future generation the circumstances of their life.","وكذلك الخلفاء: ولم أذكر أحداً منهم اكتفاء بالمصنفات الكثيرة في هذا الباب، لكن ذكرت جماعة من الأفاضل الذين شاهدتهم ونقلت عنهم، أو كانوا في زمني ولم أرهم، ليطلع على حالهم من يأتي بعدي."
"I have not limited my work to the history of any one particular class of persons, as learned men, princes, emirs, vizirs, or poets; but I have spoken of all those whose names are familiar to the public, and about whom questions are frequently asked; I have, however, related the facts I could ascertain respecting them in a concise manner, lest my work should become too voluminous;","ولم اقصر هذا المختصر على طائفة مخصوصة مثل العلماء أو الملوك أو الأمراء أو الوزراء أو الشعراء، بل كل من له شهرة بين الناس ويقع السؤال عنه ذكرته وأتيت من أحواله بما وفقت عليه، مع الإيجاز كيلا يطول الكتاب،"
"I have fixed, with all possible exactness, the dates of their birth and death; I have traced up their genealogy as high as I could; I have marked down the orthography of those names which are liable to be written incorrectly;","أثبت وفاته ومولده إن قدرت عليه، ورفعت نسبه على ما ظفرت به، وقيدت من الألفاظ ما لا يؤمن تصحيفه،"
"and I have cited the traits which may best serve to characterize each individual, such as noble actions, singular anecdotes, verses, and letters, so that the reader may derive amusement from my work, and find it not exclusively of such a uniform cast as would, prove tiresome; for the most effectual inducement to reading a book arises from the variety of its style.","وذكرت من محاسن كل شخص ما يليق به من مكرمة أو نادرة أو شعر أو رسالة ليتفكه به متأمله ولا يراه مقصوراً على أسلوب واحد فيمليه، والدواعي إنما تنبعث لتصفح الكتاب إذا كان مفننًا."
"My work thus formed, it was incumbent on me to begin it with a short invocation, intended to conciliate Divine favour; this, joined to the rest, made up the present volume, which I designed as a help to my memory, and which I intitled: Book of the Deaths of eminent Men, and History of the Sons of the epoch; drawn from written sources and oral traditions, or ascertained by personal observation; by this I intended that the contents of the work should be denoted by the title alone.","وبعد أن صار كذلك لم يكن بد من استفتاحه بخطبة وجيزة للتبرك بها؛ فنشأ من مجموع ذلك هذا الكتاب، وجعلته تذكرة لنفسي. وسميته كتاب"" وفيات الأعيان، وأبناء أبناء الزمان، مما ثبت بالنقل أو السماع أو أثبته العيان ""ليستدل على مضمون الكتاب بمجرد العنوان."
"If any person possessing information on the subject I have treated; perceive faults in this book, he will do a meritorious action in correcting them after due verification; for I myself have spared no pains in drawing from works of established repute for accuracy, and have never, through carelessness, cited extracts from doubtful authorities; on the contrary, I have done all that lay in my power to attain correctness.","فمن وقف عليه من أهل الدراية بهذا الشأن ورأى فيه خللاً فهو المثاب في إصلاحه بعد التثبيت فيه، فإني بذلت الجهد في التقاطه من مظان الصحة، ولم أتساهل في نقله ممن لا يوثق به، بل تحريت فيه حسبما وصلت القدرة إليه."
