"أمّا بعد فإنّ فنّ التّاريخ من الفنون الّتي تتداوله الأمم والأجيال وتشدّ إليه الرّكائب والرّحال، وتسمو إلى معرفته السّوقة والأغفال، وتتنافس فيه الملوك والأقيال.","HISTORY is a discipline widely cultivated among nations and races. It is eagerly sought after. The men in the street, the ordinary people, aspire to know it. Kings and leaders vie for it."
"وتتساوى في فهمه العلماء والجهّال، إذ هو في ظاهره لا يزيد على أخبار عن الأيّام والدّول، والسّوابق من القرون الأول، تنمو فيها الأقوال، وتضرب فيها الأمثال، وتطرف بها الأندية إذا غصّها الاحتفال، وتؤدّي لنا شأن الخليقة كيف تقلّبت بها الأحوال، واتّسع للدّول فيها النّطاق والمجال، وعمّروا الأرض حتّى نادى بهم الارتحال، وحان منهم الزّوال.","Both the learned and the ignorant are able to understand it. For on the surface history is no more than information about political events, dynasties, and occurrences of the remote past, elegantly presented and spiced with proverbs. It serves to entertain large, crowded gatherings and brings to us an understanding of human affairs. (It shows) how changing conditions affected (human affairs), how certain dynasties came to occupy an ever wider space in the world, and how they settled the earth until they heard the call and their time was up."
"وفي باطنه نظر وتحقيق، وتعليل للكائنات ومبادئها دقيق، وعلم بكيفيّات الوقائع وأسبابها عميق، فهو لذلك أصيل في الحكمة عريق، وجدير بأن يعدّ في علومها وخليق.","The inner meaning of history, on the other hand, involves speculation and an attempt to get at the truth, subtle explanation of the causes and origins of existing things, and deep knowledge of the how and why of events. (History,) therefore, is firmly rooted in philosophy. It deserves to be accounted a branch of (philosophy)."
,
"وإنّ فحول المؤرخين في الإسلام قد استوعبوا أخبار الأيّام وجمعوها، وسطّروها في صفحات الدّفاتر وأودعوها، وخلطها المتطفّلون بدسائس من الباطل وهموا فيها وابتدعوها، وزخارف من الرّوايات المضعفة لفّقوها ووضعوها،","The outstanding Muslim historians made exhaustive collections of historical events and wrote them down in book form. But, then, persons who had no right to occupy themselves with history introduced into those books untrue gossip which they had thought up or freely invented, as well as false, discredited reports which they had made up or embellished. "
,
"واقتفى تلك الآثار الكثير ممّن بعدهم واتّبعوها، وأدّوها إلينا كما سمعوها، ولم يلاحظوا أسباب الوقائع والأحوال ولم يراعوها، ولا رفضوا ترّهات الأحاديث ولا دفعوها، فالتّحقيق قليل، وطرف التّنقيح في الغالب كليل، والغلط والوهم نسيب للأخبار وخليل، والتّقليد عريق في الآدميّين وسليل،","Many of their successors followed in their steps and passed that information on to us as they had heard it. They did not look for, or pay any attention to, the causes of events and conditions, nor did they eliminate or reject nonsensical stories. Little effort is being made to get at the truth. The critical eye, as a rule, is not sharp. Errors and unfounded assumptions are closely allied and familiar elements in historical information. Blind trust in tradition is an inherited trait in human beings."
"والتّطفّل على الفنون عريض طويل، ومرعى الجهل بين الأنام وخيم وبيل، والحقّ لا يقاوم سلطانه، والباطل يقذف بشهاب النّظر شيطانه، والنّاقل إنّما هو يملي وينقل، والبصيرة تنقد الصّحيح إذا تمقّل، والعلم يجلو لها صفحات القلوب ويصقل.","Occupation with the (scholarly) disciplines on the part of those who have no right is widespread. But the pasture of stupidity is unwholesome for mankind. No one can stand up against the authority of truth, and the evil of falsehood is to be fought with enlightening speculation. The reporter merely dictates and passes on (the material). It takes critical insight to sort out the hidden truth; it takes knowledge to lay truth bare and polish it so that critical insight may be applied to it."
,
"هذا وقد دوّن النّاس في الأخبار وأكثروا، وجمعوا تواريخ الأمم والدّول في العالم وسطّروا، والّذين ذهبوا بفضل الشّهرة والإمامة المعتبرة، واستفرغوا دواوين من قبلهم في صحفهم المتأخّرة، هم قليلون لا يكادون يجاوزون عدد الأنامل، ولا حركات العوامل، ","Many systematic historical works have been composed, and the history of nations and dynasties in the world has been compiled and written down. But there are very few (historians) who have become so well known as to be recognized as authorities, and who have replaced the products of their predecessors by their own works. They can almost be counted on the fingers of the hands; they are hardly more numerous than the vowels in grammatical constructions (which are just three). "
"مثل ابن إسحاق والطّبريّ وابن الكلبيّ ومحمّد بن عمر الواقديّ وسيف بن عمر الأسديّ وغيرهم من المشاهير، المتميّزين عن الجماهير، وإن كان في كتب المسعوديّ والواقديّ من المطعن والمغمز ما هو معروف عند الأثبات. ومشهور بين الحفظة الثّقات، إلّا أنّ الكافّة اختصّتهم بقبول أخبارهم، واقتفاء سننهم في التّصنيف واتّباع آثارهم، ","There are, for instance, Ibn Ishaq; at-Tabari; Ibn al-Kalbi; Muhammad b. 'Umar al- Wagidi; Sayf b. 'Umar al-Asadi; al-Mas'udi, and other famous (historians) who are distinguished from the general run (of historians) .It is well known to competent persons and reliable experts that the works of al-Masudi and al-Waqidi are suspect and objectionable in certain respects. However, their works have been distinguished by universal acceptance of the information they contain and by adoption of their methods and their presentation of material. "
"والنّاقد البصير قسطاس نفسه في تزييفهم فيما ينقلون أو اعتبارهم. فللعمران طبائع في أحواله ترجع إليها الأخبار، وتحمل عليها الرّوايات والآثار.","The discerning critic is his own judge as to which part of their material he finds spurious, and which he gives credence to. Civilization, in its (different) conditions, contains (different) elements to which historical information may be related and with which reports and historical materials may be checked."
,
"ثمّ إنّ أكثر التّواريخ لهؤلاء عامّة المناهج والمسالك، لعموم الدّولتين صدر الإسلام في الآفاق والممالك. وتناولها البعيد من الغايات في المآخذ والمتارك ومن هؤلاء من استوعب ما قبل الملّة من الدّول والأمم، والأمر العمم. كالمسعوديّ ومن نحا منحاه.","Most of the histories by these (authors) cover everything because of the universal geographical extension of the two earliest Islamic dynasties and because of the very wide selection of sources of which they did or did not make use. Some of these authors, such as al-Mas'idi and historians of his type, gave an exhaustive history of the pre-Islamic dynasties and nations and of other (pre- Islamic) affairs in general."
"وجاء من بعدهم من عدل عن الإطلاق إلى التّقييد ووقف في العموم والإحاطة عن الشّأو البعيد، فقيّد شوارد عصره، واستوعب أخبار أفقه وقطره، واقتصر على تاريخ دولته ومصره، كما فعل أبو حيّان مؤرّخ الأندلس والدّولة الأمويّة بها وابن الرّفيق مؤرّخ إفريقية والدّولة الّتي كانت بالقيروان.","Some later historians, on the other hand, showed a tendency toward greater restriction, hesitating to be so general and comprehensive. They brought together the happenings of their own period and gave exhaustive historical information about their own part of the world. They restricted themselves to the history of their own dynasties and cities. This was done by Ibn Hayyan, the historian of Spain and the Spanish Umayyads,18 and by Ibn ar-Raqiq, the historian of Ifrigiyah and the dynasty in Kairouan (al-Qayrawan)."
"ثمّ لم يأت من بعد هؤلاء إلّا مقلّد، وبليد الطّبع والعقل وبليد، ينسج على ذلك المنوال، ويحتذي منه بالمثال، ويذهل عمّا أحالته الأيّام من الأحوال، واستبدلت به من عوائد الأمم والأجيال، فيجلبون الأخبار عن الدّول، وحكايات الوقائع في العصور الأول، صورا قد تجرّدت عن موادّها، وصفاحا انتضيت من أغمادها، ومعارف تستنكر للجهل بطارفها وتلادها، ","The later historians were all tradition-bound and dull of nature and intelligence, or, (at any rate) did not try not to be dull. They merely copied 20 the (older historians) and followed their example. They disregarded the changes in conditions and in the customs of nations and races that the passing of time had brought about. Thus, they presented historical information about dynasties and stories of events from the early period as mere forms without substance, blades without scabbards, as knowledge that must be considered ignorance, because it is not known what of it is extraneous and what is genuine. "
"إنّما هي حوادث لم تعلم أصولها، وأنواع لم تعتبر أجناسها ولا تحقّقت فصولها، يكرّرون في موضوعاتها الأخبار المتداولة بأعيانها، اتّباعا لمن عني من المتقدّمين بشأنها، ويغفلون أمر الأجيال النّاشئة في ديوانها، بما أعوز عليهم من ترجمانها، فتستعجم صحفهم عن بيانها، ","(Their information) concerns happenings the origins of which are not known. It concerns species the genera of which are not taken into consideration, and whose (specific) differences are not verified. With the information they set down they merely repeated historical material which is, in any case, widely known, and followed the earlier historians who worked on it. They neglected the importance of change over the generations in their treatment of the (historical material), because they had no one who could interpret it for them. Their works, therefore, give no explanation for it."
,
"ثمّ إذا تعرّضوا لذكر الدّولة نسقوا أخبارها نسقا محافظين على نقلها وهما أو صدقا، لا يتعرّضون لبدايتها، ولا يذكرون السّبب الّذي رفع من رايتها، وأظهر من آيتها، ولا علّة الوقوف عند غايتها، فيبقى النّاظر متطلعا بعد إلى افتقاد أحوال مبادئ الدّول ومراتبها، مفتّشا عن أسباب تزاحمها أو تعاقبها، باحثا عن المقنع في تباينها أو تناسبها، حسبما نذكر ذلك كلّه في مقدّمة الكتاب.","When they then turn to the description of a particular dynasty, they report the historical information about it (mechanically) and take care to preserve it as it had been passed on down to them, be it imaginary or true. They do not turn to the beginning of the dynasty. Nor do they tell why it unfurled its banner and was able to give prominence to its emblem, or what caused it to come to a stop when it had reached its term. The student, thus, has still to search for the beginnings of conditions and for (the principles of) organization of (the various dynasties). He must (himself) investigate why the various dynasties brought pressures to bear upon each other and why they succeeded each other. He must search for a convincing explanation of the elements that made for mutual separation or contact among the dynasties. All this will be dealt with in the Introduction to this work."
"ثمّ جاء آخرون بإفراط الاختصار، وذهبوا إلى الاكتفاء بأسماء الملوك والاقتصار، مقطوعة عن الأنساب والأخبار، موضوعة عليها أعداد أيّامهم بحروف الغبار، كما فعله ابن رشيق في ميزان العمل، ومن اقتفى هذا الأثر من الهمل، وليس يعتبر لهؤلاء مقال، ولا يعدّ لهم ثبوت ولا انتقال، لما أذهبوا من الفوائد، وأخلّوا بالمذاهب المعروفة للمؤرّخين والعوائد.","Other historians, then, came with too brief a presentation (of history). They went to the extreme of being satisfied with the names of kings, without any genealogical or historical information, and with only a numerical indication of the length of reigns.22 This was done by Ibn Rashiq in the Mizan al-'amal,23 and by those lost sheep who followed his method. No credence can be given to what they say. They are not considered trustworthy, nor is their material considered worthy of transmission, for they caused useful material to be lost and damaged the methods and customs acknowledged (as sound and practical) by historians."
"ولمّا طالعت كتب القوم، وسبرت غور الأمس واليوم، نبّهت عين القريحة من سنة الغفلة والنّوم. وسمت التّصنيف من نفسي وأنا المفلس أحسن السّوم، فأنشأت في التّاريخ كتابا.","When I had read the works of others and probed into the recesses of yesterday and today, I shook myself out of that drowsy complacency and sleepiness. Although not much of a writer, I exhibited my own literary ability as well as I could, and, thus, composed a book on history."
رفعت به عن أحوال النّاشئة من الأجيال حجابا:,"In (this book) I lifted the veil from conditions as they arise in the various generations. I arranged it in an orderly way in chapters dealing with historical facts and reflections. In it I showed how and why dynasties and civilization originate. I based the work on the history of the two races that constitute the population of the Maghrib at this time and people its various regions and cities, and on that of their ruling houses, both long- and short-lived, including the rulers and allies they had in the past. These two races are the Arabs and the Berbers. They are the two races known to have resided in the Maghrib for such a long time that one can hardly imagine they ever lived elsewhere, for its inhabitants know no other human races. I corrected the contents of the work carefully and presented it to the judgment of scholars and the elite. "
"وفصّلته في الأخبار والاعتبار بابا بابا، وأبديت فيه لأوّليّة الدّول والعمران عللا وأسبابا. وبنيته على أخبار الأمم الّذين عمّروا المغرب في هذه الأعصار، وملئوا الملوك والأنصار، وهما العرب والبربر، إذ هما الجيلان اللّذان عرف بالمغرب مأواهما وطال فيه على الأحقاب مثواهما، حتّى لا يكاد يتصوّر فيه ما عداهما، ولا يعرف أهله من أجيال الآدميّين سواهما، فهذّبت مناحيه تهذيبا، وقرّبته لأفهام العلماء والخاصّة تقريبا،",
"وسلكت في ترتيبه وتبويبه مسلكا غريبا، واخترعته من بين المناحي مذهبا عجيبا، وطريقة مبتدعة وأسلوبا. وشرحت فيه من أحوال العمران والتّمدّن وما يعرض في الاجتماع الإنسانيّ من العوارض الذّاتيّة ما يمتّعك بعلل الكوائن وأسبابها، ويعرّفك كيف دخل أهل الدّول من أبوابها، حتّى تنزع من التّقليد يدك، وتقف على أحوال ما قبلك من الأيّام والأجيال وما بعدك ورتّبته على مقدّمة وثلاثة كتب:","I followed an unusual method of arrangement and division into chapters. From the various possibilities, I chose a remarkable and original method. In the work, I commented on civilization, on urbanization, and on the essential characteristics of human social organization, in a way that explains to the reader how and why things are as they are, and shows him how the men who constituted a dynasty first came upon the historical scene. As a result, he will wash his hands of any blind trust in tradition. He will become aware of the conditions of periods and races that were before his time and that will be after it. I divided the work into an introduction and three books:"
المقدّمة في فضل علم التّاريخ وتحقيق مذاهبه والإلماع بمغالط المؤرّخين.,"The Introduction deals with the great merit of historiography, (offers) an appreciation of its various methods, and cites errors of the historians."
الكتاب الأوّل في العمران وذكر ما يعرض فيه من العوارض الذّاتيّة من الملك والسّلطان والكسب والمعاش والصّنائع والعلوم وما لذلك من العلل والأسباب.,"The First Book deals with civilization and its essential characteristics, namely, royal authority, government, gainful occupations, ways of making a living, crafts, and sciences, as well as with the causes and reasons thereof."
الكتاب الثّاني في أخبار العرب وأجيالهم ودولهم منذ مبدإ الخليقة إلى هذا العهد وفيه من الإلماع ببعض من عاصرهم من الأمم المشاهير ودولهم مثل النّبط والسّريانيّين والفرس وبني إسرائيل والقبط واليونان والرّوم والتّرك والإفرنجة,"The Second Book deals with the history, races, and dynasties of the Arabs, from the beginning of creation down to this time. This will include references to such famous nations and dynasties - contemporaneous with them, as the Nabataeans, the Syrians, the Persians, the Israelites, the Copts, the Greeks, the Byzantines, the Turks, and the Franks."
