THE KEY TO MEDICINE AND A GUIDE FOR STUDENTS,مفتاح الطب ومنهاج الطلاب
,بسم الله الرحمن الرحيم
The teacher Aba al-Faraj 'Ali ibn al-Husayn ibn Hindu said: Some of my learned friends have looked through my work entitled “A Treatise Encouraging the Study of Philosophy”.,قال الأستاذُ أبو الفرج عليُّ بن الحسين بن هندو: تصفَّح إخواننا من المتعلمين مقالتي الموسومة بالمشوقة في المدخل إلى علم الفلسفة
"its easily understandable style made them want a similar treatise on medicine. So I undertook to compose such a treatise for them, taking pains to make it accessible, and called it “The Key to Medicine” to indicate its objective.","فشوَّقتهم سهولةُ المأخذ فيها إلى مقالةٍ في الطب على نهجها، فأسعفتهم بتصنيفها، وتوخيت غايةَ تقريبها، وسمَّيتها: مفتاحَ الطبِّ، للدلالة على الغرض فيها"
I divided it into ten chapters under the following titles. I. On encouraging the study of professions in general and the profession of medicine in particular. II. On the importance of the profession of medicine.,"وبوَّبتها عشرةَ أبواب، هذه تراجمها: الباب الأول: في الحث على تعلم الصناعات عمومًا وتعلم الطب خصوصًا. الباب الثاني: في إثبات صناعة الطب."
,
III. On the definition of medicine. IV. On the nobility of medicine. V. On the branches of medicine. VI. On the different schools of medicine.,الباب الثالث: في حدِّ الطب. الباب الرابع: في شرف الطب. الباب الخامس: في أقسام الطب. الباب السادس: في فرق الطب.
,
VII. On the way in which the profession of medicine developed. VIII. On what fields of knowledge a physician should know in order to achieve perfection in his profession.,الباب السابع: في ذكر الطرق التي بها استنبطت صناعة الطب. الباب الثامن: في تعديد ما يجب على الطبيب معرفته من العلوم ليكون كاملًا في صناعته.
,
"IX. On how to train the medical student, and a graded list of books written on the subject. X. On medical terms and definitions.","الباب التاسع: في كيفية تدريج المتعلم للطب، وذكر مراتب الكتب فيه. الباب العاشر: في العبارات والحدود الطبية"
"Now, I shall proceed with God’s help and discuss the subject chapter by chapter as enumerated in my list.","ومن ها هنا نأخذ بتوفيق الله فيما قلناه، ونشرح بابًا بعد بابٍ مما عدَّدنا."
,
Chapter One: On encouraging the study of professions in general and the profession of medicine in particular.,الباب الأول: في الحثِّ على تعلم الصناعات عمومًا وتعلم الطب خصوصًا
,
"When the Ancients defined the existent as that which causes an action or suffers the effect, it followed that its antithesis is non-existent and is without those qualities.","إن القدماء لما حدّوا الموجود بأنه الذي يفعل فعلًا أو يقبل تأثيرًا، كان من البيِّن أن المعدوم هو الذي خالف هذه الصفة، وعدم هذه الحلية."
"For, should we assume that a person is without the actions or reactions pertaining to mankind, then it is logical to define him as non-existent and not to describe him as existent.","فمتى فرضنا الإنسان عطلًا من الفعل والانفعال اللائقين بنوع الناس، كان أولى الأشياء أن يُسمى بالمعدوم، ولا يُمح له باسم الموجود."
"Some actions performed by humans are shared in common with animals, such as eating, drinking, running and fighting, as well as all other actions that can be performed by both animals and humans.","والأفعال التي يفعلها الإنسان منها ما يشارك به البهائم، كالأكل والشرب والعدو والصراع وسائر الأفعال التي صدورها ممكن عن الإنسان وعن غيره من الحيوان."
"There are other actions that man shares with the angels, such as reaping the benefits of knowledge, aspiring to do good, and all actions that use the intellect and need discernment and reflection.","ومنها ما يشارك به الملائكة، مثل استفادة العلوم وتوخِّي الخيرات وسائر الأفعال التي تختص بالعقل وتحتاج إلى التمييز والفكر."
,
"With regard to animal actions, it is evident that they do not confer upon man any distinction, nor do they raise him above the level of animals. As for mental actions, they comprise two categories. ","فأما تلك الأفعال البهيمية، فمن الظاهر أن الإنسان لا ينال بها رتبةً ولا يرتفع بها عن طبقة البهيمة. وأما الأفعال العقلية، فهي ضربان"
One category encompasses actions that can be performed by any person with a sound disposition: a person needs no training or practice to sew up a rag or to bandage a wound.,"أحدهما يمكن وقوعه من كل إنسان سليم الفطرة، ولا يحتاج فيه إلى مزاولة وممارسة، مثل أن يخيط خرقته، أو يشد الرفادة على جراحته."
"Such deeds are not distinctive, for anyone with brains can perform them equally and well. The other category cannot be performed without practice, learning, practical application, and investigation. And this category in turn embraces two subcategories.","وهذا أيضًا ليست فيه مزية، لأن ذوي العقول فيه متشاكلون وله متداولون. والضرب الثاني ما لا يقع إلا بعد ممارسلة وتعلم ومعالجة وتفقد، وهذا أيضًا ضربان"
