حي بن يقظان تأليف ابن طُفيل,HAYY IBN YAQZAN a Philosophical Tale of IBN TUFAYL
"ذكر سلفنا الصالح — رضي الله عنهم — أن جزيرة من جزائر الهند التي تحت خط الاستواء، وهي الجزيرة التي يتولَّد بها الإنسان من غير أم ولا أب وبها شجر يثمر نساء، وهي التي ذكر المسعودي أنها جزيرة الوقواق؛ لأن تلك الجزيرة أعدل بقاع الأرض هواءً، وأتممها لشروق النور الأعلى عليها استعدادًا، وإن كان ذلك خلاف ما يراه جمهور الفلاسفة وكبار الأطباء؛ فإنهم يرون أن أعدل ما في المعمورة الإقليم الرابع.","Our forefathers, of blessed memory, tell of a certain equatorial island, lying off the coast of India, where human beings come into being without father or mother. This is possible, they say, because, of all places on earth, that island has the most tempered climate. And because a supernal light streams down on it, it is the most perfectly adapted to accept the human form. This runs counter to the views of most ordinary philosophers and even the greatest natural scientists. They believe the most temperate region of the inhabited world to be the fourth zone,"
"فإن كانوا قالوا ذلك لأنه صح عندهم أنه ليس على خط الاستواء عمارة لمانع من الموانع الأرضية، فلقولهم إن الإقليم الرابع أعدل بقاع الأرض وجهٌ، وإن كانوا إنما أرادوا بذلك أن ما على خط الاستواء شديد الحرارة، كالذي يصرِّح به أكثرهم فهو خطأ يقوم البرهان على خلافه.","and if they say this because they reason that some inadequacy due to the earth prevents settlement on the equatorial belt, then there is some color of truth to their claim that the fourth is the most moderate of the remaining regions. But if, as most of them admit, they refer only to the intense heat of the equator, the notion is an error the contrary of which is easily proved."
"وذلك أنه قد تبرهن في العلوم الطبيعية أنه لا سبب لتكوُّن الحرارة إلا الحركة، أو ملاقاة الأجسام الحارة، والإضاءة.","For it is a demonstrated principle of physical science that heat is generated only by motion, contact with hot bodies, or radiation of light."
"وتبيَّن فيها أيضًا أن الشمس بذاتها غير حارة ولا متكيفة بشيء من هذه الكيفيات المزاجية، وقد تبيَّن فيها أيضًا أن الأجسام التي تقبل الإضاءة أتمَّ القبول هي الأجسام الصقيلة غير الشفافة، ويليها في قبول ذلك الأجسام الكثيفة غير الصقيلة. فأما الأجسام الشفافة التي لا شيء فيها من الكثافة فلا تقبل الضوء بوجهٍ، وهذا وحده مما برهنه الشيخ أبو علي خاصة، ولم يذكره مَن تقدمه.","The same sciences teach us that the sun itself is not hot and is not to be characterized by any such mixed qualities. Likewise they teach that it is the highly reflective bodies, not the transparent ones, that take up light best; next are opaque, non-reflecting bodies; but transparent bodies with no trace of opacity do not take on light at all. The foregoing point was proved by Avicenna, using an argument which was his original work; his predecessors do not have it."
فإذا صحَّت هذه المقدمات فاللازم عنها أن الشمس لا تسخِّن الأرض كما تسخِّن الأجسام الحارة أجسامًا أُخر تماسها؛ لأن الشمس في ذاتها غير حارة ولا الأرض أيضًا تسخن بالحركة؛ لأنها ساكنة وعلى حالة واحدة في شروق الشمس عليها وفي وقت مغيبها عنها. وأحوالها في التسخين والتبريد ظاهرة الاختلاف للحس في هذين الوقتين.,"If these premises are sound, they imply that the sun does not warm earth the way bodies warm each other, by conduction, because in itself the sun is not hot. Nor is the earth warmed by motion since it is stationary and in the same position at sunrise as at sunset, although warming and cooling are apparent at these times."
"ولا الشمس أيضًا تسخِّن الهواء، أولًا، ثم تسخِّن بعد ذلك الأرض بتوسط سخونة الهواء.",Nor does the sun first warm the air and then the earth by convection.
وكيف يكون ذلك ونحن نجد أن ما قرب من الهواء من الأرض في وقت الحر أسخن كثيرًا من الهواء الذي يبعد منه علوًا؟!,"How could it, since we find that when it’s hot the air close to the earth is much hotter than that higher up?"
"فبقي أن تسخين الشمس للأرض إنما هو على سبيل الإضاءة لا غير؛ فإن الحرارة تتبع الضوء أبدًا، حتى إن الضوء إذا أفرط في المرآة المقعرة أشعل ما حاذاها.",The only alternative is that the sun warms the earth by radiation of light. Heat invariably follows light. If focused in a burning- mirror light will even set things on fire.
"وقد ثبت في علوم التعاليم بالبراهين القطعية أن الشمس كُروية الشكل وأن الأرض كذلك، وأن الشمس أعظم من الأرض كثيرًا، وأن الذي يستضيء من الشمس أبدًا هو أعظم من نصفها، وأن هذا النصف المضيء من الأرض في كل وقت أشد ما يكون الضوء في وسطه؛ لأنه أبعد المواضع من المظلمة ولأنه يقابل من الشمس أجزاءً أكثر، وما قرب من المحيط كان أقل ضوءًا حتى ينتهي إلى الظلمة عند محيط الدائرة الذي ما أضاء موقعه من الأرض قط.","It has been proved with scientific certainty that the sun is spherical, as is the earth, and that the sun is much bigger than the earth. Thus somewhat more than half the earth’s surface is perpetually lit by the sun, and of the sector of the earth illuminated at any given moment, the most brilliantly lit portion is the center, since it is furthest from the darkness and faces most directly into the sun. Toward the edges the illumination is progressively less, shading into darkness at the periphery."
"وإنما يكون الموضع وسط دائرة الضياء إذا كانت الشمس على سمت رءوس الساكنين فيه، وحينئذٍ تكون الحرارة في ذلك الموضع أشد ما يكون فإن كان الموضع مما تبعد الشمس عن مسامتة رءوس أهله كان شديد البرودة جدًّا، وإن كان مما تدوم فيه المسامتة كان شديد الحرارة.","A place is at the center of the circle of light only when those who live there can see the sun, at its zenith, directly overhead. At this time the heat is as intense as it will get. A place where the sun stays far from the zenith will be very cold; places where it tends to linger at the zenith will be very hot."
